X1,X2,X3,X4,X5
12583,2010/12/1,22728,3.75,24
12583,2010/12/1,22727,3.75,24
12583,2010/12/1,22726,3.75,12
12583,2010/12/1,21724,0.85,12
12583,2010/12/1,21883,0.65,24
12583,2010/12/1,10002,0.85,48
12583,2010/12/1,21791,1.25,24
12583,2010/12/1,21035,2.95,18
12583,2010/12/1,22326,2.95,24
12583,2010/12/1,22629,1.95,24
12583,2010/12/1,22659,1.95,24
12583,2010/12/1,22631,1.95,24
12583,2010/12/1,22661,0.85,20
12583,2010/12/1,21731,1.65,24
12583,2010/12/1,22900,2.95,24
12583,2010/12/1,21913,3.75,12
12583,2010/12/1,22540,0.42,24
12583,2010/12/1,22544,0.42,24
12583,2010/12/1,22492,0.65,36
12583,2010/12/1,POST,18,3
13748,2010/12/1,22086,2.55,80
15311,2010/12/1,22139,4.25,23
15311,2010/12/1,84854,4.95,5
15311,2010/12/1,22411,1.95,10
15311,2010/12/1,82567,2.1,2
15311,2010/12/1,21672,1.25,6
15311,2010/12/1,22774,1.25,24
15311,2010/12/1,22771,1.25,24
15311,2010/12/1,71270,1.25,1
15311,2010/12/1,22262,0.85,1
15311,2010/12/1,22637,2.55,1
15311,2010/12/1,21934,1.65,10
15311,2010/12/1,21169,1.69,3
15311,2010/12/1,21166,1.95,1
15311,2010/12/1,21175,2.1,2
15311,2010/12/1,37444A,2.95,1
15311,2010/12/1,37444C,2.95,1
15311,2010/12/1,22086,2.95,4
15311,2010/12/1,22083,2.95,1
15311,2010/12/1,84971S,0.85,6
15311,2010/12/1,71270,1.25,3
15311,2010/12/1,47580,2.55,2
15311,2010/12/1,22261,0.85,1
15311,2010/12/1,84832,0.85,1
15311,2010/12/1,22644,1.45,1
15311,2010/12/1,21533,4.95,1
15311,2010/12/1,21557,2.95,2
15311,2010/12/1,15056BL,5.95,2
15311,2010/12/1,15056N,5.95,2
15311,2010/12/1,22646,1.45,4
15311,2010/12/1,22176,2.95,1
15311,2010/12/1,22438,1.95,1
15311,2010/12/1,21731,1.65,2
15311,2010/12/1,22778,3.95,3
15311,2010/12/1,22719,1.06,36
15311,2010/12/1,21523,6.75,10
18074,2010/12/1,82484,6.45,3
18074,2010/12/1,84755,0.65,48
18074,2010/12/1,22464,1.65,12
18074,2010/12/1,21324,2.95,6
18074,2010/12/1,22457,2.95,12
18074,2010/12/1,22469,1.45,40
18074,2010/12/1,22470,2.55,40
18074,2010/12/1,22224,2.95,6
18074,2010/12/1,21340,12.75,2
18074,2010/12/1,22189,3.95,4
18074,2010/12/1,22427,5.95,3
18074,2010/12/1,22428,6.95,6
18074,2010/12/1,22424,10.95,8
16218,2010/12/1,22297,1.25,24
16218,2010/12/1,22771,1.25,12
16218,2010/12/1,22772,1.25,12
16218,2010/12/1,22773,1.25,12
16218,2010/12/1,22805,1.25,12
16218,2010/12/1,22469,1.65,12
16218,2010/12/1,22197,0.85,36
16218,2010/12/1,21125,1.25,12
16218,2010/12/1,21126,1.25,12
16218,2010/12/1,85049C,1.25,12
16218,2010/12/1,85049D,1.25,12
16218,2010/12/1,85049E,1.25,12
16218,2010/12/1,85049G,1.25,12
16218,2010/12/1,21061,0.85,12
16218,2010/12/1,21063,0.85,12
16218,2010/12/1,21062,0.85,12
16218,2010/12/1,84380,1.25,12
16218,2010/12/1,84378,1.25,12
16218,2010/12/1,22964,2.1,12
16218,2010/12/1,21213,0.55,24
16218,2010/12/1,22417,0.55,24
16218,2010/12/1,21212,0.55,24
16218,2010/12/1,84992,0.55,24
16218,2010/12/1,21975,0.55,24
16218,2010/12/1,22383,1.65,10
16218,2010/12/1,20728,1.65,10
16218,2010/12/1,20727,1.65,10
16218,2010/12/1,22296,1.65,24
14307,2010/12/1,22537,0.42,24
14307,2010/12/1,22533,0.42,24
14307,2010/12/1,20982,0.85,12
14307,2010/12/1,21832,1.65,12
14307,2010/12/1,21915,1.25,12
14307,2010/12/1,21914,1.25,12
14307,2010/12/1,21544,0.85,12
14307,2010/12/1,22813,1.95,12
14307,2010/12/1,22114,3.95,4
14307,2010/12/1,84029E,3.75,4
14307,2010/12/1,21479,3.75,4
14307,2010/12/1,22964,2.1,6
14307,2010/12/1,84375,2.1,12
14307,2010/12/1,22418,0.85,24
14307,2010/12/1,22178,1.25,12
14307,2010/12/1,84970L,0.95,12
14307,2010/12/1,21733,2.95,6
14307,2010/12/1,22465,1.65,12
14307,2010/12/1,84949,1.65,6
14307,2010/12/1,20685,7.95,2
14307,2010/12/1,48194,7.95,2
14307,2010/12/1,22488,1.65,12
14307,2010/12/1,22219,0.85,12
14307,2010/12/1,84879,1.69,8
14307,2010/12/1,21754,5.95,3
14307,2010/12/1,21755,5.95,3
14307,2010/12/1,22766,2.95,8
14307,2010/12/1,22610,0.85,36
14307,2010/12/1,22716,0.42,12
14307,2010/12/1,22706,0.42,25
14307,2010/12/1,22371,4.25,4
14307,2010/12/1,85014B,5.95,3
14307,2010/12/1,85014A,5.95,3
14307,2010/12/1,84997B,3.75,6
14307,2010/12/1,21212,0.55,24
14307,2010/12/1,21210,1.45,12
14307,2010/12/1,22914,4.95,3
14307,2010/12/1,22553,1.65,12
14307,2010/12/1,16237,0.21,30
14307,2010/12/1,22714,0.42,12
14307,2010/12/1,22812,1.95,12
14307,2010/12/1,84347,2.55,6
14307,2010/12/1,21587,2.55,12
14307,2010/12/1,22736,1.65,10
14307,2010/12/1,22492,0.65,36
14307,2010/12/1,22620,1.25,12
14307,2010/12/1,22619,3.75,4
14307,2010/12/1,21705,1.65,12
13255,2010/12/1,21494,1.25,12
13255,2010/12/1,21915,1.25,72
13255,2010/12/1,22938,1.95,12
13255,2010/12/1,22768,9.95,4
13255,2010/12/1,22767,9.95,4
13255,2010/12/1,82494L,2.95,6
18085,2010/12/1,22619,3.75,4
18085,2010/12/1,21481,2.95,6
18085,2010/12/1,22632,2.1,12
18085,2010/12/1,22837,4.65,8
18085,2010/12/1,21479,3.75,8
18085,2010/12/1,21485,4.95,8
18085,2010/12/1,84029E,3.75,8
18085,2010/12/1,22111,4.95,16
18085,2010/12/1,22113,3.75,8
14849,2010/12/1,22670,1.25,12
14849,2010/12/1,21586,2.55,12
14849,2010/12/1,84992,0.55,24
14849,2010/12/1,84879,1.69,24
14849,2010/12/1,84849B,1.69,12
14849,2010/12/1,22927,5.95,2
14849,2010/12/1,22926,5.95,4
14849,2010/12/1,22925,5.95,2
14849,2010/12/1,21977,0.55,24
14849,2010/12/1,21485,4.95,6
14849,2010/12/1,21484,3.45,8
14849,2010/12/1,21259,5.95,2
14849,2010/12/1,21257,7.95,2
14849,2010/12/1,21121,1.25,24
14849,2010/12/1,82552,1.45,12
17968,2010/12/1,90200B,4.25,2
17968,2010/12/1,90059B,1.65,2
17968,2010/12/1,90185C,4.25,2
17968,2010/12/1,90059E,1.65,3
17968,2010/12/1,90059C,1.65,1
17968,2010/12/1,90200C,4.25,1
17968,2010/12/1,90200D,4.25,3
17968,2010/12/1,90200A,4.25,1
17968,2010/12/1,22386,1.95,1
17968,2010/12/1,85099B,1.95,1
17968,2010/12/1,84879,1.69,8
17968,2010/12/1,22086,2.95,1
17968,2010/12/1,22737,1.65,1
17968,2010/12/1,21260,3.25,1
17968,2010/12/1,22744,2.95,2
17968,2010/12/1,21985,0.29,1
17968,2010/12/1,21980,0.29,1
17968,2010/12/1,22988,1.25,1
17968,2010/12/1,22297,1.25,1
17968,2010/12/1,22294,1.25,1
17968,2010/12/1,22295,1.65,1
17968,2010/12/1,22813,1.95,2
17968,2010/12/1,22812,1.95,6
17968,2010/12/1,22197,0.85,5
17968,2010/12/1,21977,0.55,1
17968,2010/12/1,22619,3.75,1
17968,2010/12/1,16258A,0.42,1
17968,2010/12/1,21992,2.95,1
17968,2010/12/1,22910,2.95,1
17968,2010/12/1,21124,1.25,1
17968,2010/12/1,22735,1.65,2
17968,2010/12/1,22952,0.55,2
17968,2010/12/1,22945,0.85,6
17968,2010/12/1,21816,1.45,2
17968,2010/12/1,21815,1.45,4
17968,2010/12/1,21814,1.45,2
17968,2010/12/1,10125,0.85,2
17968,2010/12/1,22810,2.95,1
17968,2010/12/1,22573,0.85,1
17968,2010/12/1,22577,0.85,1
17968,2010/12/1,22603,0.85,2
17968,2010/12/1,22809,2.95,1
17968,2010/12/1,20878,1.25,1
17968,2010/12/1,20866,1.25,1
17968,2010/12/1,85095,1.95,1
17968,2010/12/1,22333,1.65,1
17968,2010/12/1,22557,1.65,1
17968,2010/12/1,21584,1.65,1
17968,2010/12/1,22866,2.1,1
17968,2010/12/1,22731,1.25,2
17968,2010/12/1,22866,2.1,1
17968,2010/12/1,22866,2.1,3
17968,2010/12/1,22558,1.49,2
17968,2010/12/1,22956,2.1,1
17968,2010/12/1,22945,0.85,6
17968,2010/12/1,22582,2.55,1
17968,2010/12/1,21212,0.55,1
17968,2010/12/1,21212,0.55,2
17968,2010/12/1,22585,1.25,3
17968,2010/12/1,21121,1.25,1
17968,2010/12/1,21122,1.25,1
17968,2010/12/1,22759,1.65,1
17968,2010/12/1,21815,1.45,1
17968,2010/12/1,85231B,0.85,3
17968,2010/12/1,85231G,0.85,5
17968,2010/12/1,22082,1.65,5
17968,2010/12/1,22500,4.95,2
