再識別,再識別対象,結果,再識別成功,再識別試行
paddy,鋼鉄の錬金術師,0,325,1000
ほぼぼっち,鋼鉄の錬金術師,0,113,1000
とっとこ匿名太郎,鋼鉄の錬金術師,NA,NA,NA
Unhackable Anonymity,鋼鉄の錬金術師,0,331,1000
westlab,鋼鉄の錬金術師,0,1,7
unicorn,鋼鉄の錬金術師,0,20,96
ステテコ西垣２,鋼鉄の錬金術師,0,341,1000
筑波大学,鋼鉄の錬金術師,0,0,12
MaeData,鋼鉄の錬金術師,NA,NA,NA
匿名係長 NINJA HATTORI,鋼鉄の錬金術師,0,1,9
X-面（仮）,鋼鉄の錬金術師,NA,NA,NA
あのーに,鋼鉄の錬金術師,NA,NA,NA
先駆け,鋼鉄の錬金術師,0,5,7
鋼鉄の錬金術師,paddy,0,3,7
ほぼぼっち,paddy,0,113,1000
とっとこ匿名太郎,paddy,NA,NA,NA
Unhackable Anonymity,paddy,0,500,1000
westlab,paddy,0,2,7
unicorn,paddy,0,88,189
ステテコ西垣２,paddy,0,518,1000
筑波大学,paddy,0,1,6
MaeData,paddy,NA,NA,NA
匿名係長 NINJA HATTORI,paddy,0,6,8
X-面（仮）,paddy,NA,NA,NA
あのーに,paddy,NA,NA,NA
先駆け,paddy,0,10,13
鋼鉄の錬金術師,ほぼぼっち,1,7,7
paddy,ほぼぼっち,1,1000,1000
とっとこ匿名太郎,ほぼぼっち,NA,NA,NA
Unhackable Anonymity,ほぼぼっち,1,13,13
westlab,ほぼぼっち,1,7,7
unicorn,ほぼぼっち,1,998,1000
ステテコ西垣２,ほぼぼっち,1,7,7
筑波大学,ほぼぼっち,0,6,6
MaeData,ほぼぼっち,NA,NA,NA
匿名係長 NINJA HATTORI,ほぼぼっち,1,955,955
X-面（仮）,ほぼぼっち,1,7,7
あのーに,ほぼぼっち,1,29,29
先駆け,ほぼぼっち,1,7,7
鋼鉄の錬金術師,とっとこ匿名太郎,NA,NA,NA
paddy,とっとこ匿名太郎,NA,NA,NA
ほぼぼっち,とっとこ匿名太郎,NA,NA,NA
Unhackable Anonymity,とっとこ匿名太郎,NA,NA,NA
westlab,とっとこ匿名太郎,NA,NA,NA
unicorn,とっとこ匿名太郎,NA,NA,NA
ステテコ西垣２,とっとこ匿名太郎,NA,NA,NA
筑波大学,とっとこ匿名太郎,NA,NA,NA
MaeData,とっとこ匿名太郎,NA,NA,NA
匿名係長 NINJA HATTORI,とっとこ匿名太郎,NA,NA,NA
X-面（仮）,とっとこ匿名太郎,NA,NA,NA
あのーに,とっとこ匿名太郎,NA,NA,NA
先駆け,とっとこ匿名太郎,NA,NA,NA
鋼鉄の錬金術師,Unhackable Anonymity,1,7,7
paddy,Unhackable Anonymity,0,492,1000
ほぼぼっち,Unhackable Anonymity,0,144,1000
とっとこ匿名太郎,Unhackable Anonymity,NA,NA,NA
westlab,Unhackable Anonymity,0,3,7
unicorn,Unhackable Anonymity,0,199,404
ステテコ西垣２,Unhackable Anonymity,0,512,1000
筑波大学,Unhackable Anonymity,0,1,13
MaeData,Unhackable Anonymity,NA,NA,NA
匿名係長 NINJA HATTORI,Unhackable Anonymity,0,2,8
X-面（仮）,Unhackable Anonymity,NA,NA,NA
あのーに,Unhackable Anonymity,NA,NA,NA
先駆け,Unhackable Anonymity,0,9,13
鋼鉄の錬金術師,westlab,1,7,7
paddy,westlab,0,115,986
ほぼぼっち,westlab,0,10,985
とっとこ匿名太郎,westlab,NA,NA,NA
Unhackable Anonymity,westlab,0,42,986
unicorn,westlab,0,9,43
ステテコ西垣２,westlab,0,5,7
筑波大学,westlab,0,5,100
MaeData,westlab,NA,NA,NA
匿名係長 NINJA HATTORI,westlab,0,7,14
X-面（仮）,westlab,0,5,7
あのーに,westlab,0,5,15
先駆け,westlab,0,5,7
鋼鉄の錬金術師,unicorn,1,7,7
paddy,unicorn,1,1000,1000
ほぼぼっち,unicorn,0,469,1000
とっとこ匿名太郎,unicorn,NA,NA,NA
Unhackable Anonymity,unicorn,1,13,13
westlab,unicorn,1,7,7
ステテコ西垣２,unicorn,1,7,7
筑波大学,unicorn,0,6,6
MaeData,unicorn,NA,NA,NA
匿名係長 NINJA HATTORI,unicorn,1,943,943
X-面（仮）,unicorn,1,7,7
あのーに,unicorn,1,26,26
先駆け,unicorn,1,7,7
鋼鉄の錬金術師,ステテコ西垣２,0,5,7
paddy,ステテコ西垣２,0,464,1000
ほぼぼっち,ステテコ西垣２,0,109,1000
とっとこ匿名太郎,ステテコ西垣２,NA,NA,NA
Unhackable Anonymity,ステテコ西垣２,0,500,1000
westlab,ステテコ西垣２,1,7,7
unicorn,ステテコ西垣２,0,218,423
筑波大学,ステテコ西垣２,0,94,236
MaeData,ステテコ西垣２,NA,NA,NA
匿名係長 NINJA HATTORI,ステテコ西垣２,0,6,8
X-面（仮）,ステテコ西垣２,0,5,7
あのーに,ステテコ西垣２,NA,NA,NA
